user_id,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),1,3,4
269,210.36844,1071.55,146.83,1.88,14847.78,2801,701.53,73,1,0,0
270,132.62639,354.08,51.75,1.11,438.01,1885,1073.59,110,0,0,0
271,177.99535,3409.72,520.26,1.96,4250.29,2677,1487.49,158,0,0,0
272,600.41684,1549.94,398.06,1.72,4586.13,1491,1517.39,111,0,0,0
273,336.92884,712.61,106.78,1.3,2412.73,1653,1290.35,132,1,1,1
274,360.26919,210.18,33.59,0.49,711.98,1166,313.64,638,0,0,1
275,824.09745,1879.29,95.18,1.21,1114.44,2151,1402.54,204,0,0,0
276,175.75125,1081.65,71.78,1.25,2361.86,1743,464.56,132,0,1,1
277,547.88384,1564.44,337.92,3.56,4922.61,1293,1322.85,88,0,0,0
278,239.02775,2740.02,62.36,0.22,22642.69,1041,1397.6,116,0,0,0
279,666.82161,1418.69,292.63,2.16,4884.25,2921,2328.22,84,0,0,0
280,699.6179,4406.26,283.32,0.58,8395.34,1267,2889.38,50,0,0,0
281,247.60863,5204.18,59.63,1.59,6513.32,1112,1311.25,160,1,0,0
282,780.87786,3582.28,136.36,0.36,9834.35,1717,3801.6,49,0,0,0
283,508.18096,2018.69,301.71,1.56,3337.86,4037,1469.86,76,0,0,0
284,281.36482,1078.62,210.61,1.68,3396.59,1836,2814.74,59,1,1,1
285,215.97179,3295.25,74.21,0.45,3575.33,1540,2074.67,114,0,0,0
286,630.30974,1533.58,560.91,0.45,4233.2,1866,5417.48,97,0,0,0
287,222.41038,3374.35,187.87,1.46,7961.82,1894,1942.52,68,1,1,1
288,442.09893,1045.56,189.11,1.31,4405.74,1853,2123.71,84,0,0,0
289,795.10737,18573.35,63.29,0.36,1278.35,3651,549.49,206,1,0,1
290,555.71227,2627.6,91.44,0.52,6685.78,1162,2816.07,76,0,0,0
291,185.51429,326.72,206.48,1.05,5050.69,2100,1147.42,182,1,0,0
292,116.84672,771.69,340.23,1.78,2158.57,1738,1441.26,74,0,1,1
293,261.75046,2936.23,207.36,0.95,1116.14,4430,1453.49,153,1,0,0
294,767.98749,1106.41,112.61,0.43,6117.3,1345,2323.22,109,1,1,1
295,802.65548,6777.85,94.88,0.36,8601.8,1252,6306.88,78,1,0,0
296,299.30973,361.74,127.64,3.62,2414.54,2697,1111.22,144,1,0,1
297,730.71749,3185.93,90.77,1.37,4456.3,2218,1941.97,236,0,0,0
298,453.52772,3184.88,178.34,0.7,13195.72,1403,2359.78,258,1,1,0
299,360.63708,316.69,34.77,2.23,2052.31,1666,1557.38,1663,0,0,0
300,880.91946,2100.88,243.58,0.99,6619.46,1596,1899.95,86,0,1,0
301,620.83208,1026.6,82.25,1.69,3300.87,1712,1613.27,78,0,1,1
302,397.1905,1562.51,181.26,1.36,2017.55,1528,1098.84,91,0,0,0
303,697.18184,1200.89,192.1,1.37,3641.04,1671,1626.64,117,0,0,0
304,304.99333,1851.01,89.14,1.08,3457.57,1311,3403.07,80,0,0,1
305,192.32013,376.96,235.46,0.54,3579.19,1452,2869.02,69,0,0,0
306,541.15189,8352.41,116.29,1.8,12727.3,1357,2632.71,97,1,0,0
307,319.53442,585.96,215.91,5.52,1317.53,4752,591.21,239,0,0,0
308,163.95345,1179.86,127.43,1.7,2612.71,1806,2244.68,209,0,0,0
309,354.17146,1180.95,575.07,0.53,5113.53,1524,2571.42,91,0,0,0
310,783.44606,3318.38,98.92,1.07,4642.87,2324,1263.51,96,0,1,0
311,445.61162,801.47,89.18,1.75,18561.88,2371,1494.71,93,0,0,0
312,338.89114,4446.41,169.08,3.74,6516.43,1686,2343.23,97,0,1,1
